=== RESUMO GERAL ===
Distância Total (km),Tempo Total (h),Tempo Total (min)
1567.8,35.28,2116.99

=== DETALHES DA ROTA ===
Ordem,Ponto,Latitude,Longitude,Distância até próximo (km),Tempo até próximo (s),Bateria Restante (s),Ação,Horário
422,316,-25.4968867857253,-49.2235692856984,1.59,106.2,430.65,FOTO,06:50
423,134,-25.4825630317905,-49.2238324147895,2.41,160.68,209.97,FOTO,06:53
424,124,-25.4685143295265,-49.2421165124832,0,0,149.97,POUSO PARA RECARGA,06:53
425,124,-25.4685143295265,-49.2421165124832,3.24,215.83,1584.17,FOTO,06:57
426,140,-25.4764195588417,-49.273155691529,2.65,176.82,1347.35,FOTO,07:00
427,53,-25.4967925893433,-49.2594143510465,0.89,59.64,1227.71,FOTO,07:01
428,203,-25.4977016024349,-49.2505578410785,6.34,422.55,745.16,FOTO,07:08
429,295,-25.4654572500437,-49.1984884999811,1.28,85.56,599.6,FOTO,07:09
430,279,-25.468586333766,-49.2107938551622,0.85,56.46,483.14,FOTO,07:10
431,12,-25.4627990031427,-49.2053096781914,0,0,423.14,POUSO PARA RECARGA,07:10
432,12,-25.4627990031427,-49.2053096781914,9.57,638.01,1161.99,FOTO,07:21
433,231,-25.5414905884625,-49.2439315883873,10.09,672.93,429.06,FOTO,07:32
434,214,-25.5796239000291,-49.33524810001,0.45,29.81,339.24,FOTO,07:32
435,243,-25.575776177431,-49.3365443994341,2.5,166.59,112.65,FOTO,07:35
436,355,-25.5584308697738,-49.3207049341475,0,0,52.65,POUSO PARA RECARGA,07:35
437,355,-25.5584308697738,-49.3207049341475,19.39,1292.5,507.5,FOTO,07:57
438,109,-25.3904101875436,-49.2691160623079,1.18,78.85,368.65,FOTO,07:58
439,96,-25.3808727224324,-49.2743298330015,1.1,73.65,234.99,FOTO,07:59
440,370,-25.3725747859642,-49.2682819283134,0,0,174.99,POUSO PARA RECARGA,07:59
441,370,-25.3725747859642,-49.2682819283134,15.0,1000.31,799.69,FOTO,08:16
442,264,-25.4926040000053,-49.2000059999854,0.68,45.26,694.43,FOTO,08:17
443,371,-25.4903390577391,-49.20628701026,2.19,145.69,488.74,FOTO,08:19
444,83,-25.4911705040405,-49.228041043675,5.42,361.65,67.09,FOTO,08:25
445,329,-25.4467561755521,-49.2503976846901,0,0,7.09,POUSO PARA RECARGA,08:25
446,329,-25.4467561755521,-49.2503976846901,10.43,695.09,1104.91,FOTO,08:37
447,346,-25.3849215000131,-49.328439749977,2.2,146.51,898.4,FOTO,08:39
448,33,-25.3666350000001,-49.3367376666649,3.79,252.34,586.06,FOTO,08:43
449,347,-25.399199941043,-49.3477109219031,2.38,158.54,367.52,FOTO,08:46
450,167,-25.401157660715,-49.3241349981993,3.46,230.99,76.53,FOTO,08:50
451,261,-25.4086845373433,-49.2906611455039,0,0,16.53,POUSO PARA RECARGA,08:50
452,261,-25.4086845373433,-49.2906611455039,2.42,161.21,1638.79,FOTO,08:52
453,137,-25.4060056184402,-49.2667691092792,5.44,362.92,1215.88,FOTO,08:58
454,0,-25.4233146347775,-49.2160678044742,0.0,0.0,1155.88,FOTO,08:58
