CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,1,06:01,54,82810220,-25.4362783812433,-49.2176039050576,NÃO,06:03
82810220,-25.4362783812433,-49.2176039050576,1,06:03,54,82920090,-25.4493406843058,-49.2065936315104,NÃO,06:04
82920090,-25.4493406843058,-49.2065936315104,1,06:04,54,82930000,-25.4522168930604,-49.2076848688181,NÃO,06:06
82930000,-25.4522168930604,-49.2076848688181,1,06:06,54,82960200,-25.468586333766,-49.2107938551622,NÃO,06:09
82960200,-25.468586333766,-49.2107938551622,1,06:09,54,81580050,-25.4911705040405,-49.228041043675,NÃO,06:10
81580050,-25.4911705040405,-49.228041043675,1,06:10,54,81570240,-25.4811182084669,-49.2271006252739,NÃO,06:11
81570240,-25.4811182084669,-49.2271006252739,1,06:11,54,81570001,-25.4825630317905,-49.2238324147895,NÃO,06:13
81570001,-25.4825630317905,-49.2238324147895,1,06:13,54,81540160,-25.4663186667815,-49.2166009443659,NÃO,06:14
81540160,-25.4663186667815,-49.2166009443659,1,06:14,54,82950220,-25.4538040386831,-49.2173702690989,NÃO,06:17
82950220,-25.4538040386831,-49.2173702690989,1,06:17,54,82800310,-25.4363060856137,-49.2266446131255,NÃO,06:17
82800310,-25.4363060856137,-49.2266446131255,1,06:17,54,82800310,-25.4363060856137,-49.2266446131255,SIM,06:21
82800310,-25.4363060856137,-49.2266446131255,1,06:21,54,80030430,-25.4146322176159,-49.2550561883948,NÃO,06:25
80030430,-25.4146322176159,-49.2550561883948,1,06:25,54,80410000,-25.4213661621413,-49.2875646174355,NÃO,06:25
80410000,-25.4213661621413,-49.2875646174355,1,06:25,54,80510360,-25.4193944591681,-49.2858097118247,NÃO,06:26
80510360,-25.4193944591681,-49.2858097118247,1,06:26,54,80510325,-25.4198156998607,-49.2790781765687,NÃO,06:28
80510325,-25.4198156998607,-49.2790781765687,1,06:28,54,80520550,-25.403621771614,-49.2770964271839,NÃO,06:30
80520550,-25.403621771614,-49.2770964271839,1,06:30,54,80530210,-25.415928,-49.266714,NÃO,06:38
80530210,-25.415928,-49.266714,1,06:38,54,81560730,-25.476983000057,-49.2242420001757,NÃO,06:38
81560730,-25.476983000057,-49.2242420001757,1,06:38,54,81560730,-25.476983000057,-49.2242420001757,SIM,06:40
81560730,-25.476983000057,-49.2242420001757,1,06:40,54,81580020,-25.4882127778241,-49.2241676667996,NÃO,06:41
81580020,-25.4882127778241,-49.2241676667996,1,06:41,54,81560250,-25.4891353622078,-49.2181798796427,NÃO,06:43
81560250,-25.4891353622078,-49.2181798796427,1,06:43,54,81570010,-25.4740384750357,-49.2379956248079,NÃO,06:49
81570010,-25.4740384750357,-49.2379956248079,1,06:49,54,82530060,-25.425394880957,-49.2359359145395,NÃO,06:51
82530060,-25.425394880957,-49.2359359145395,1,06:51,54,82510514,-25.4130335000161,-49.2401459999717,NÃO,06:51
82510514,-25.4130335000161,-49.2401459999717,1,06:51,54,82520095,-25.4146626252933,-49.2400308757049,NÃO,06:52
82520095,-25.4146626252933,-49.2400308757049,1,06:52,54,80040153,-25.4213319028677,-49.2481648998847,NÃO,06:53
80040153,-25.4213319028677,-49.2481648998847,1,06:53,54,80045270,-25.4269458358083,-49.2498379452408,NÃO,06:55
80045270,-25.4269458358083,-49.2498379452408,1,06:55,54,80210200,-25.4425802500035,-49.2447534999719,NÃO,06:58
80210200,-25.4425802500035,-49.2447534999719,1,06:58,54,81510390,-25.4685143295265,-49.2421165124832,NÃO,06:58
81510390,-25.4685143295265,-49.2421165124832,1,06:58,54,81510390,-25.4685143295265,-49.2421165124832,SIM,07:00
81510390,-25.4685143295265,-49.2421165124832,1,07:00,54,81610020,-25.4773976954983,-49.2479963707565,NÃO,07:04
81610020,-25.4773976954983,-49.2479963707565,1,07:04,54,80620340,-25.4540745011999,-49.2732563508827,NÃO,07:04
80620340,-25.4540745011999,-49.2732563508827,1,07:04,54,80620370,-25.4578113636589,-49.2746421817496,NÃO,07:08
80620370,-25.4578113636589,-49.2746421817496,1,07:08,54,81030380,-25.4878438322257,-49.2772121864255,NÃO,07:08
81030380,-25.4878438322257,-49.2772121864255,1,07:08,54,81030370,-25.4881800174281,-49.2756635796428,NÃO,07:09
81030370,-25.4881800174281,-49.2756635796428,1,07:09,54,81010170,-25.4783570614136,-49.2757205974116,NÃO,07:10
81010170,-25.4783570614136,-49.2757205974116,1,07:10,54,81010130,-25.4764195588417,-49.273155691529,NÃO,07:21
81010130,-25.4764195588417,-49.273155691529,1,07:21,54,82020560,-25.401157660715,-49.3241349981993,NÃO,07:21
82020560,-25.401157660715,-49.3241349981993,1,07:21,54,82020560,-25.401157660715,-49.3241349981993,SIM,07:22
82020560,-25.401157660715,-49.3241349981993,1,07:22,54,82030020,-25.3946174297227,-49.3162606368294,NÃO,07:28
82030020,-25.3946174297227,-49.3162606368294,1,07:28,54,80540290,-25.4060056184402,-49.2667691092792,NÃO,07:29
80540290,-25.4060056184402,-49.2667691092792,1,07:29,54,80035210,-25.4018593540355,-49.2501065029327,NÃO,07:33
80035210,-25.4018593540355,-49.2501065029327,1,07:33,54,82820460,-25.4179465264684,-49.2222826851176,NÃO,07:39
82820460,-25.4179465264684,-49.2222826851176,1,07:39,54,82990198,-25.4560595000466,-49.1987434093442,NÃO,07:39
82990198,-25.4560595000466,-49.1987434093442,1,07:39,54,82990150,-25.4599432722975,-49.1940915354714,NÃO,07:40
82990150,-25.4599432722975,-49.1940915354714,1,07:40,54,82980600,-25.4666337593647,-49.1916779820241,NÃO,07:41
82980600,-25.4666337593647,-49.1916779820241,1,07:41,54,82980520,-25.4702554549873,-49.1880231206476,NÃO,07:41
82980520,-25.4702554549873,-49.1880231206476,1,07:41,54,82980520,-25.4702554549873,-49.1880231206476,SIM,07:44
82980520,-25.4702554549873,-49.1880231206476,1,07:44,54,81590045,-25.4936220026944,-49.1988741650016,NÃO,07:44
81590045,-25.4936220026944,-49.1988741650016,1,07:44,54,81590576,-25.4942162501529,-49.2012669496276,NÃO,07:52
81590576,-25.4942162501529,-49.2012669496276,1,07:52,54,81830580,-25.525272804958,-49.2599985858237,NÃO,07:52
81830580,-25.525272804958,-49.2599985858237,1,07:52,54,81830300,-25.5229877082695,-49.2642839884632,NÃO,07:56
81830300,-25.5229877082695,-49.2642839884632,1,07:56,54,81110240,-25.5012202607084,-49.2880626203316,NÃO,07:57
81110240,-25.5012202607084,-49.2880626203316,1,07:57,54,81110330,-25.5042910428287,-49.2847716627966,NÃO,07:59
81110330,-25.5042910428287,-49.2847716627966,1,07:59,54,81020150,-25.4852090685074,-49.2875810685635,NÃO,08:02
81020150,-25.4852090685074,-49.2875810685635,1,08:02,54,81050610,-25.4838938211145,-49.3106146746474,NÃO,08:02
81050610,-25.4838938211145,-49.3106146746474,1,08:02,54,81050610,-25.4838938211145,-49.3106146746474,SIM,08:04
81050610,-25.4838938211145,-49.3106146746474,1,08:04,54,81330220,-25.4843712333489,-49.3355483883407,NÃO,08:06
81330220,-25.4843712333489,-49.3355483883407,1,08:06,54,81260210,-25.4862514891775,-49.350391101116,NÃO,08:06
